,name,num-animals,days-outside,hours-outside,manure-type,additional-data
0,milk_cow,1,150,8,1,0
1,mother_cow,1,150,8,1,0
2,heifer,3,150,8,1,0
3,fattening_calf,8,150,8,1,0
4,suckler_calf,3,150,8,1,0
5,beef_cow,1,150,8,1,0
6,breeding_bull,1,150,8,1,0
0,fattening_pig,6,150,8,0,0
1,breeding_pig,2,150,8,0,0
0,laying_hen,100,150,8,2,0
1,pullet,250,150,8,2,0
2,broiler_chicken,250,150,8,2,0
pre_min,pre_storage_min,0,0,0,0,1
pre_expected,pre_storage_expected,0,0,0,0,4
pre_max,pre_storage_max,0,0,0,0,10
post_min,post_storage_min,0,0,0,0,40
post_expected,post_storage_expected,0,0,0,0,100
post_max,post_storage_max,0,0,0,0,150
dist_min,distance_min,0,0,0,0,1
dist_expected,distance_expected,0,0,0,0,2
dist_max,distance_max,0,0,0,0,5
application_method,application_method,0,0,0,0,drag_hose
transport_method,transport_method,0,0,0,0,tractor
heat_demand_winter,heat_demand_winter,0,0,0,0,500000
heat_demand_summer,heat_demand_summer,0,0,0,0,300000
country,country,0,0,0,0,ch
